Row Labels,Min of Recency,Sum of Quantity,Sum of Profit,R_Score,F_Score,M_Score,RFM Score,Customer Segment
B-25601,364,19,-1218,1,3,1,131,Bronze Customer
B-25602,364,22,975,1,3,4,134,Bronze Customer
B-25603,362,25,-180,1,3,1,131,Bronze Customer
B-25604,362,11,22,1,2,2,122,Bronze Customer
B-25605,360,7,0,1,2,2,122,Bronze Customer
B-25606,359,2,4,1,1,2,112,Bronze Customer
B-25607,359,4,15,1,1,2,112,Bronze Customer
B-25608,357,19,-1456,1,3,1,131,Bronze Customer
B-25609,356,8,24,1,2,3,123,Bronze Customer
B-25610,356,24,-746,1,3,1,131,Bronze Customer
B-25611,354,2,-59,1,1,1,111,Bronze Customer
B-25612,353,2,-55,1,1,1,111,Bronze Customer
B-25613,353,9,0,1,2,2,122,Bronze Customer
B-25614,352,6,42,1,2,3,123,Bronze Customer
B-25615,350,5,20,1,1,2,112,Bronze Customer
B-25616,350,16,-48,1,3,1,131,Bronze Customer
B-25617,348,5,-270,1,1,1,111,Bronze Customer
B-25618,347,3,127,1,1,3,113,Bronze Customer
B-25619,347,8,90,1,2,3,123,Bronze Customer
B-25620,345,1,46,1,1,3,113,Bronze Customer
B-25621,345,11,38,1,2,3,123,Bronze Customer
B-25622,343,3,0,1,1,2,112,Bronze Customer
B-25623,343,13,3,1,2,2,122,Bronze Customer
B-25624,343,3,12,1,1,2,112,Bronze Customer
B-25625,342,10,-290,1,2,1,121,Bronze Customer
B-25626,342,4,-290,1,1,1,111,Bronze Customer
B-25627,342,4,-39,1,1,1,111,Bronze Customer
B-25628,341,10,-4,1,2,2,122,Bronze Customer
B-25629,341,3,421,1,1,3,113,Bronze Customer
B-25630,341,21,-211,1,3,1,131,Bronze Customer
B-25631,341,2,-89,1,1,1,111,Bronze Customer
B-25632,340,2,-2,1,1,2,112,Bronze Customer
B-25633,339,10,-217,1,2,1,121,Bronze Customer
B-25634,339,3,-83,1,1,1,111,Bronze Customer
B-25635,339,8,48,1,2,3,123,Bronze Customer
B-25636,339,5,113,1,1,3,113,Bronze Customer
B-25637,339,3,14,1,1,2,112,Bronze Customer
B-25638,339,17,29,1,3,3,133,Bronze Customer
B-25639,338,3,-153,1,1,1,111,Bronze Customer
B-25640,338,19,-348,1,3,1,131,Bronze Customer
B-25641,338,1,-6,1,1,2,112,Bronze Customer
B-25642,337,11,26,1,2,3,123,Bronze Customer
B-25643,336,17,-173,1,3,1,131,Bronze Customer
B-25644,335,8,-92,1,2,1,121,Bronze Customer
B-25645,334,14,-195,1,2,1,121,Bronze Customer
B-25646,334,2,-8,1,1,2,112,Bronze Customer
B-25647,332,4,-6,1,1,2,112,Bronze Customer
B-25648,331,10,-77,1,2,1,121,Bronze Customer
B-25649,330,2,-25,1,1,1,111,Bronze Customer
B-25650,329,31,-799,1,3,1,131,Bronze Customer
B-25651,328,28,-237,1,3,1,131,Bronze Customer
B-25652,327,27,-324,1,3,1,131,Bronze Customer
B-25653,327,45,-406,1,4,1,141,Bronze Customer
B-25654,325,21,-182,1,3,1,131,Bronze Customer
B-25655,324,39,-489,1,4,1,141,Bronze Customer
B-25656,324,43,1021,1,4,4,144,Bronze Customer
B-25657,322,19,-293,1,3,1,131,Bronze Customer
B-25658,321,2,9,1,1,2,112,Bronze Customer
B-25659,320,7,72,1,2,3,123,Bronze Customer
B-25660,319,3,-78,1,1,1,111,Bronze Customer
B-25661,318,17,-276,1,3,1,131,Bronze Customer
B-25662,318,14,-100,1,2,1,121,Bronze Customer
B-25663,316,2,138,1,1,3,113,Bronze Customer
B-25664,315,9,-223,1,2,1,121,Bronze Customer
B-25665,314,4,-113,1,1,1,111,Bronze Customer
B-25666,313,7,-916,1,2,1,121,Bronze Customer
B-25667,312,24,245,1,3,3,133,Bronze Customer
B-25668,311,3,17,1,1,2,112,Bronze Customer
B-25669,310,2,-66,1,1,1,111,Bronze Customer
B-25670,310,8,-4,1,2,2,122,Bronze Customer
B-25671,308,3,0,1,1,2,112,Bronze Customer
B-25672,307,1,-15,1,1,2,112,Bronze Customer
B-25673,307,18,-149,1,3,1,131,Bronze Customer
B-25674,307,5,-12,1,1,2,112,Bronze Customer
B-25675,304,9,-93,1,2,1,121,Bronze Customer
B-25676,303,18,-304,1,3,1,131,Bronze Customer
B-25677,302,1,-2,1,1,2,112,Bronze Customer
B-25678,301,8,-74,1,2,1,121,Bronze Customer
B-25679,300,1,-50,1,1,1,111,Bronze Customer
B-25680,300,3,-25,1,1,1,111,Bronze Customer
B-25681,300,23,-575,1,3,1,131,Bronze Customer
B-25682,297,11,-73,1,2,1,121,Bronze Customer
B-25683,296,21,76,1,3,3,133,Bronze Customer
B-25684,295,2,42,1,1,3,113,Bronze Customer
B-25685,294,12,112,1,2,3,123,Bronze Customer
B-25686,293,11,-572,1,2,1,121,Bronze Customer
B-25687,293,15,-48,1,2,1,121,Bronze Customer
B-25688,293,5,-345,1,1,1,111,Bronze Customer
B-25689,290,8,-406,1,2,1,121,Bronze Customer
B-25690,289,3,10,1,1,2,112,Bronze Customer
B-25691,288,10,22,1,2,2,122,Bronze Customer
B-25692,287,7,28,1,2,3,123,Bronze Customer
B-25693,286,30,-535,1,3,1,131,Bronze Customer
B-25694,286,7,43,1,2,3,123,Bronze Customer
B-25695,286,9,14,1,2,2,122,Bronze Customer
B-25696,283,17,-207,1,3,1,131,Bronze Customer
B-25697,282,24,-292,1,3,1,131,Bronze Customer
B-25698,281,23,-652,1,3,1,131,Bronze Customer
B-25699,280,9,-71,1,2,1,121,Bronze Customer
B-25700,279,10,-110,1,2,1,121,Bronze Customer
B-25701,278,12,-94,1,2,1,121,Bronze Customer
B-25702,277,22,-370,1,3,1,131,Bronze Customer
B-25703,276,39,-449,1,4,1,141,Bronze Customer
B-25704,275,6,-63,1,2,1,121,Bronze Customer
B-25705,274,2,0,1,1,2,112,Bronze Customer
B-25706,273,4,-11,1,1,2,112,Bronze Customer
B-25707,273,1,-6,1,1,2,112,Bronze Customer
